topic_id,domain,term0,term1,term2,term3,term4,term5,term6,term7,term8,term9
0,blogs,dictionary,old,american,sound,see,sense,new,come,common,language
1,blogs,make,thing,correct,case,might,know,someone,want,context,form
2,blogs,fall,size,rain,fell,falling,snow,loan,debt,winter,penny
3,blogs,voice,direction,speed,signal,button,format,technique,light,command,procedure
4,blogs,car,american,water,british,party,president,corpus,million,hit,political
5,blogs,name,computer,user,program,fish,plural,named,variable,programming,register
6,blogs,company,money,product,service,business,pay,store,card,customer,data
7,blogs,zero,facebook,null,grouped,elbow,trader,prevented,grease,slander,bakery
8,blogs,child,woman,law,family,mother,father,love,parent,wife,relationship
9,blogs,com,http,book,amp,google,content,university,ngram,college,chart
10,blogs,great,removed,generation,cousin,uncle,aunt,ancestor,grandfather,atom,tolkien
11,blogs,crime,center,institution,chain,prison,facility,prisoner,transformation,jail,custody
12,blogs,paper,code,bag,corner,purchase,shopping,stuff,plastic,pole,economics
13,blogs,suffix,ending,brain,eye,perception,visual,experienced,breath,ic,historic
14,blogs,miss,void,kitten,compassion,deepest,prick,pitiful,rejoice,tug,emptiness
15,blogs,argument,ad,logical,attack,fallacy,toilet,beer,visited,delivery,accusative
16,blogs,dollar,clean,oldest,eldest,acme,warp,cleanliness,quartz,hygiene,stamen
17,blogs,black,red,white,green,stem,kitchen,wire,insect,oxymoron,schadenfreude
18,blogs,quote,letter,parenthesis,bracket,sic,correction,local,mercy,original,jinx
19,blogs,import,hunger,disgust,imported,export,mustard,nausea,yolk,nauseous,disable
20,blogs,ear,listened,headphone,onboard,ms,earphone,jquery,piel,rockin,affronted
21,blogs,tell,truth,lie,false,joke,pride,praise,speaks,deceive,falsehood
22,blogs,room,unit,touch,owner,smell,map,apartment,rent,owns,dwelling
23,blogs,power,government,kill,approved,ruler,democracy,dictator,chauvinism,unlimited,authoritarian
24,blogs,degree,lt,symbol,entity,scale,gt,range,temperature,arm,grade
25,blogs,cloud,virus,amazon,trail,frankenstein,addicted,deployed,crumb,maze,othello
26,blogs,ship,row,copied,cargo,transit,spreadsheet,shipped,shipment,flippant,disgusted
27,blogs,earth,harry,package,orbit,satellite,nasa,packet,ron,cheeky,mischievous
28,blogs,number,primary,jack,secondary,ate,chocolate,binary,disaster,ordinal,cardinal
29,blogs,mark,sign,punctuation,sc,inverted,issued,po,smiling,visa,gc
30,blogs,address,window,internet,shape,server,automatically,curve,bark,assign,spy
31,blogs,microblog,coffeescript,sound,correct,vowel,however,seems,sure,thing,common
32,blogs,drug,sauce,tomato,mexican,spaghetti,gravy,carnival,prepares,barker,cartel
33,blogs,cheese,salad,chef,cracker,cod,tuna,taker,cheddar,flavored,ner
34,blogs,dirty,proportion,gin,olive,kin,spade,vodka,martini,kith,estonia
35,blogs,clause,object,subject,preposition,head,complement,construction,gerund,tree,np
36,blogs,trip,summer,journey,vacation,euro,brass,ripe,parting,cyber,volcano
37,blogs,eating,viz,append,cocaine,utensil,cutlery,housewares,escalator,mattress,silverware
38,blogs,god,belief,quot,proper,religious,church,capitalized,bible,court,christian
39,blogs,fruit,skin,vegetable,outer,peel,unravel,rind,poincaré,irregardless,suppletive
40,blogs,spice,latte,vitamin,chai,roe,thrives,moonshine,spiced,shipbuilding,tak
41,blogs,house,level,small,big,building,ground,property,door,floor,flat
42,blogs,eat,morning,late,dinner,restaurant,tea,evening,meal,lunch,sunday
43,blogs,nut,bolt,wrench,ich,smash,suppress,fringe,probe,tighten,torque
44,blogs,standard,measure,weight,gold,precious,sensor,purity,glitter,ieee,regulator
45,blogs,style,text,line,space,page,paragraph,document,sit,lay,html
46,blogs,day,last,next,week,date,month,weekend,monday,th,tuesday
47,blogs,dream,wood,identity,tower,scared,chuck,nightmare,ivory,woodchuck,twister
48,blogs,hour,night,coin,pm,friday,midnight,noon,post,ante,compressed
49,blogs,crisp,carroll,mist,alumnus,burial,wonderland,tot,subtract,shroud,sundae
