topic_id,domain,term0,term1,term2,term3,term4,term5,term6,term7,term8,term9
0,blogs,r,recombinant,pylorus,mod,chorion,amnion,jpred,helicobacter,rrss,graphene
1,blogs,cell,body,blood,cause,also,effect,immune,system,disease,virus
2,blogs,bacteria,bacterial,gram,negative,positive,wall,stain,bacterium,staining,crystal
3,blogs,gel,buffer,band,sample,run,electrophoresis,sd,agarose,solution,running
4,blogs,etbr,cyp,ferritin,sedimentation,tuna,lithium,clarithromycin,baltic,mag,confocal
5,blogs,blood,pressure,heart,oxygen,flow,vessel,air,volume,increase,muscle
6,blogs,hair,follicle,keratin,grey,white,scalp,disulfide,bond,beard,curl
7,blogs,cell,light,water,molecule,neuron,plant,energy,also,muscle,membrane
8,blogs,textrm,circ,decomposers,mon,t,biorep,dried,detritus,v,sludge
9,blogs,vaccine,aa,strain,r_,vaccination,n_,hpv,hit,immunity,attenuated
10,blogs,bag,p_i,w_i,crisper,minipreps,shipment,capsular,caf,refrigerator,capsule
11,blogs,a_,x_,p_,bar,pepper,ij,b_,mycelium,frequency,quad
12,blogs,spider,name,dinosaur,web,genus,specie,family,taxon,http,venom
13,blogs,energy,atp,reaction,delta,free,mol,weight,kg,hydrolysis,calorie
14,blogs,shiny,moderator,bristle,modencode,bower,election,daf,bowerbird,scrap,pity
15,blogs,go,ensp,influenza,fetus,ha,inversion,menopause,subtype,subtypes,mid
16,blogs,ch,g_i,f_i,methionine,folate,marsupial,thf,placental,optimality,monotreme
17,blogs,lip,ibd,mathbb,upper,theta,y_,transplant,donor,cutaneous,align
18,blogs,microgram,grp,milligram,typo,one,would,protein,sequence,also,time
19,blogs,pbmcs,f_a,f_o,cell,light,would,one,also,potential,ion
20,blogs,gluteus,minimus,medius,vibrio,spill,catl,armadillo,pangolin,catb,horizon
21,blogs,rf,botulinum,hay,rubella,emf,botulism,bale,carcinogenicity,neurotoxin,encephalitis
22,blogs,nbsp,ant,colony,queen,worker,nest,potato,trail,aphid,pheromone
23,blogs,xx,bv,acb,impacting,cm,cell,gene,dna,mutation,effect
24,blogs,semen,abstinence,mesoderm,cent,bdnf,coelom,spermatozoon,fulminant,hippocampal,immobilization
25,blogs,surrogate,smile,circumcision,surrogacy,gestational,ssveps,tmao,traditional,foreskin,fertilization
26,blogs,amp,text,array,begin,longest,kb,bean,purine,rep,hline
27,blogs,hatching,s_f,modulus,s_m,fry,asynchrony,fitness,fittest,homozygote,male
28,blogs,antibiotic,resistance,resistant,penicillin,staphylococcus,aureus,grid,ccr,lactamase,methicillin
29,blogs,tapeworm,proglottids,would,water,saginata,dna,like,body,one,also
30,blogs,no,calmodulin,guanidine,isothiocyanate,pectoralis,enos,mediation,soreness,cell,brain
