topic_id,domain,term0,term1,term2,term3,term4,term5,term6,term7,term8,term9
0,blogs,protein,amino_acid,enzyme,dna,structure,molecule,rna,one,reaction,cell
1,blogs,light,color,eye,red,blue,green,white,yellow,cone,black
2,blogs,nl,c_,ah,el,broccoli,rec,solute,penetrating,hd,marijuana
3,blogs,plant,water,tree,leaf,like,wa,one,seed,fruit,also
4,blogs,pressure,valve,blood_pressure,blood,vein,ear,artery,ventricle,blood_flow,ventricular
5,blogs,allele,frac,equation,aa,genotype,delta,frequency,p_,text,right
6,blogs,dam,p__p_,frac_dx,gatc,collinearity,dcm,prl,sy,dpni,np_
7,blogs,pop,ra,rap,alu,oval,ry,marble,v_,bmr,boldsymbol
8,blogs,antibiotic,resistance,penicillin,resistant,tt,clot,staphylococcus,methicillin,ccr,resistant_strain
9,blogs,adapting,pressure_stimulus,lamella,hair_follicle,pacinian_corpuscle,episome,mycobacteria,receptor,tgf,spo
10,blogs,sleep,gamma,dream,stage,gtp,sleeping,melatonin,hour,night,rem_sleep
11,blogs,horn,leech,blade,maltose,cornified,vesicular,tuna,lentivector,yak,giardia
12,blogs,temperature,heat,cold,hot,body_temperature,sweat,warm,dinosaur,sweating,thermal
13,blogs,phylum,v_,semen,abstinence,kingdom,µg_ml,μl,cnidaria,porifera,proteinase
14,blogs,acid,omega,magpie,max,mirror,oil,double_bond,gelatin,ror,frac_v_
15,blogs,hf,remark,asymmetric,dnac,password,keyboard,pisa,hexamer,aq,homo
16,blogs,swarming,pfoa,teflon,ssr,markup,cookware,entomol,wi,polynomial,diptera
17,blogs,ci,caffeine,mom,pr,dad,operator,repressor,ache,trans,pl
18,blogs,finger,orf,twin,chlorophyll,fingerprint,rr,iris,pupil,identical_twin,photosystem
19,blogs,triclosan,prostaglandin,senescent_cell,enoyl,pge,pgf,rheobase,edv,antibacterial_soap,msl
20,blogs,amp_amp,bmatrix,cuttlefish,lux,hline_amp,end_array,acupuncture,begin_array,phlegm,amp_hline
21,blogs,nbsp_nbsp,nbsp,sporophyte,gametophyte,aneurysm,knot,nu,epistaxis,ka,alternation
22,blogs,capsaicin,mathbf,tea,pepper,sepsis,diuretic,mathbf_mathbf,spicy,soy,kefir
23,blogs,diamond,anopheles,l,gluten,grp,lod,gambiae,lob,celiac,blank
24,blogs,pons,fibronectin,motor_cortex,somatosensory_cortex,dw,pontine,stamp,ba,somatosensory,neural_science
25,blogs,cell,gene,dna,sequence,virus,one,bacteria,protein,genome,antibody
26,blogs,mv,ce_h_,ginger,modafinil,ek,fru,passive_transport,aconitase,ena,tca
27,blogs,specie,population,one,human,evolution,individual,male,animal,mutation,trait
28,blogs,v__max,dfrac,quad,mid,hydrophobia,azt,digitalis,underdominance,lineweaver_burk,biphasic
29,blogs,sac,bat,eagle,stretching,extensor,gt_lt,stamen,na_na,phalanx,regulatory_gene
30,blogs,initi,crustacean,earwax,ch_,mbox,ubx,bruising,ode,shipment,power
31,blogs,grid,lamina,foramen,lmna,kcal_mol,pdbqt,autodock,leucocyte,spironolactone,ovale
32,blogs,ch,homocysteine,folate,pheromone,thf,ptc,deficiency,cobalamin,roll,conjunctiva
33,blogs,mph,glyphosate,osteocyte,vacuole,axolotl,barnacle,salamander,biotype,acorn,canadensis
34,blogs,reflex,withdrawal_reflex,jerk,pleura,tensor,propofol,anesthesia,dry_cough,serous,stretch_reflex
35,blogs,l_,aabb_aabb,aabb,ctc,melanocyte,mick,graying,gm,texture,gf
36,blogs,hormone,follicle,estrogen,pregnancy,lh,ovulation,embryo,progesterone,menstruation,ovary
37,blogs,vitamin,kb,pubmed_pmid,digest,ecori,plasmid,bamhi,kb_fragment,gaze,topical
38,blogs,glucose,fructose,sucrose,glut,doi_org,http_dx,insulin,transporter,glucose_transporter,resveratrol
39,blogs,myc,approved,oncogene,avian,ssti,noti,symbol,synonym,homolog,neuroblastoma
40,blogs,mathrm,k_,inhibition,k__k_,protein_uniprot,irreversible,officinalis,n_k,noncompetitive,v_
41,blogs,ladybug,tubg,spindle,yersinia,tubulin,deficient,knockout_mouse,spot,pole,zheng
42,blogs,shiny,carapace,bristle,cornea,rrss,recombinant,neuroplasticity,sclera,pebbly,eyelid
43,blogs,lambda,b_,theta,cisplatin,rangle,ti,langle,lambda_,hamilton,replica
