topic_id,domain,term0,term1,term2,term3,term4,term5,term6,term7,term8,term9
0,blogs,rotifer,aspergillus,penicillium,hypha,acb,panning,heracleum,nmeth,lobed,12cm
1,blogs,spider,silk,modulus,guppy,temperament,cryptosporidium,fishery,shaw,different,time
2,blogs,water,body,also,like,would,plant,one,human,food,blood
3,blogs,penis,erect,kefir,hindlimb,forelimb,posture,glans,rnorm,foreskin,heatmap
4,blogs,would,dna,one,gene,protein,question,also,like,different,human
5,blogs,markup,sbml,xml,language,would,like,cell,water,one,question
6,blogs,protein,uniprot,accession,identifier,entry,download,click,database,tab,uniprotkb
7,blogs,blood,antibody,antigen,red,hemoglobin,b,type,donor,anti,rbc
8,blogs,actin,filament,repeat,myosin,tandem,contraction,sarcomere,profiling,menopause,isometric
9,blogs,gene,population,chromosome,mutation,one,allele,x,specie,selection,two
10,blogs,csf,sarcoma,phalanx,hatching,optimality,aureum,asynchrony,epipremnum,extensor,ewing
11,blogs,brain,neuron,muscle,nerve,signal,sensory,tendon,motor,cortex,pain
12,blogs,lengthening,grazing,retraction,fibrinolysis,shin,splint,clot,mowing,running,defecation
13,blogs,nbsp,substrate,inhibitor,constant,inhibition,p1,competitive,kinetics,ic50,michaelis
14,blogs,lcr,enzyme,protein,also,like,cancer,would,cell,inhibitor,g
15,blogs,methionine,b12,homocysteine,folate,cofactor,thf,ch3,deficiency,heme,ch2
16,blogs,xylem,vascular,phloem,florida,cambium,parenchyma,subspecies,intra,rec,bbgg
17,blogs,inversion,2h,ferredoxin,pc,2e,orientation,prostate,grch37,t1,oxidoreductase
18,blogs,transcription,promoter,binding,bind,ci,phage,lambda,repressor,expression,trans
19,blogs,modencode,daf,lf,one,gene,would,cell,protein,http,also
20,blogs,c,string,longest,auxin,c4,purine,pyrimidine,bundle,monocot,sheath
21,blogs,aneurysm,epistaxis,nosebleed,fatal,human,would,one,death,also,like
22,blogs,gelatin,dapi,hoechst,kiwi,fr,pfr,would,one,human,cell
23,blogs,query,mismatch,lsd,hsp,spasm,opt,percent,ramp,q,align
24,blogs,light,eye,color,red,blue,green,see,photosynthesis,vision,wavelength
25,blogs,cell,virus,immune,cancer,system,response,infection,receptor,host,pathogen
26,blogs,hz,cre,fusion,vip,flicker,eve,recombinase,adam,flickering,tom
27,blogs,smilax,rhizome,pennsylvania,would,b,x,dna,like,mutation,energy
28,blogs,lip,allosteric,cutaneous,rearrangement,upper,pfk,λ,κ,cgmp,phosphofructokinase
29,blogs,music,sporophyte,gametophyte,musical,fern,alternation,creativity,aptitude,plant,cnvs
30,blogs,percentile,laca,would,specie,cell,one,light,dna,get,use
31,blogs,soap,antibacterial,triclosan,washing,hand,pv,rotavirus,larson,household,bacteria
32,blogs,plasmid,digest,ampicillin,torsion,5kb,hindiii,gastropod,mollusc,sinistral,1kb
33,blogs,ro,carcinogen,antioxidant,superoxide,calmodulin,pfoa,teflon,genotoxic,no,sir2
34,blogs,latin,adjective,noun,singular,suffix,nominative,genitive,tubercle,declension,inflection
35,blogs,antibiotic,resistance,bacteria,strain,resistant,drug,beta,amp,penicillin,β
36,blogs,nbsp,one,dna,gene,sequence,rna,human,also,e,may
37,blogs,squash,bdnf,marijuana,zucchini,pollinated,immobilization,korean,lunula,eunuch,sarcolemma
38,blogs,uw,extrasystole,cell,would,rna,one,question,dna,like,neuron
39,blogs,lithium,virus,would,cell,may,also,infection,question,system,time
40,blogs,shark,foo,armadillo,economics,radiocarbon,pangolin,chimeric,racemization,epms,neuroeconomics
41,blogs,asystole,bradycardia,bpm,mag,rhythm,ammonite,ammonoid,specie,would,coa
42,blogs,bug,km,wheel,nymph,hemiptera,wart,tagged,assassin,sirt1,reduviidae
43,blogs,robustness,canalization,ringer,zymase,osteoarthritis,atrioventricular,cracking,cell,also,one
44,blogs,orf19,g1,bean,g2,orthologs,albicans,candida,c,none,phosphoryl
45,blogs,hox,mycelium,pufas,homothallic,collinearity,dna,type,many,also,cell
46,blogs,one,time,cell,different,effect,gene,would,human,study,also
47,blogs,witch,broom,rosette,cell,protein,gene,plant,also,dna,sequence
48,blogs,alpha,tubulin,ut,prl,1c,4a,1a,3c,pleiotropic,cell
49,blogs,mitosis,microtubule,meristem,centriole,apical,spindle,pole,sac,cilium,basal
50,blogs,acid,amino,ph,chain,group,peptide,protein,glutamate,ammonia,acidic
51,blogs,rabies,fracture,conifer,hydrophobia,atm,clavicle,eppendorf,tetanus,modelspace,cycad
52,blogs,initi,oscillation,power,icon,1e,substituted,r,plant,http,dna
53,blogs,dinosaur,cretaceous,oxygen,jurassic,anaerobe,triceratops,ton,ammonite,obligate,sauropod
54,blogs,acc,fa,vial,conical,anabolic,whey,guanidine,exonerate,leucocyte,photoreception
55,blogs,one,would,cell,specie,virus,human,time,question,body,different
56,blogs,synesthesia,helium,gas,diving,diver,narcosis,inert,synaesthesia,mesolimbic,hpns
57,blogs,underdominance,strand,gene,would,protein,one,dna,life,first,sequence
58,blogs,cell,protein,molecule,dna,would,gene,like,reaction,could,use
59,blogs,stain,nicotine,smoke,smoking,staining,cigarette,tobacco,smoker,tar,overrightarrow
60,blogs,scd,faha,beep,finishing,sec,human,also,would,protein,one
61,blogs,aspartame,neuroplasticity,crisper,ssveps,dipeptide,goggles,frequency,would,gene,dna
62,blogs,mathbf,epsilon,es,geq,dna,cell,human,evolution,used,light
63,blogs,ladybug,faa,spot,distribute,withdraw,one,time,number,case,see
64,blogs,frameshift,slim,simbit,curcumin,aac,sfs,leu,nemo,simulator,aflatoxin
65,blogs,subtilis,gag,lentivector,env,rpoa,vsv,ltr,lentivectors,siga,hamper
66,blogs,agonist,ach,ache,nicotinic,vlpo,acetylcholinesterase,bf,pyridostigmine,neostigmine,α2
67,blogs,fragment,kb,adapter,bam,illumina,eco,circumcision,ura3,yip,truseq
68,blogs,rna,cell,acid,amino,dna,protein,one,would,life,get
