topic_id,domain,term0,term1,term2,term3,term4,term5,term6,term7,term8,term9
0,blogs,ball,red,cointegration,urn,egg,stationary,rural,urban,green,governance
1,blogs,army,na,organization,meal,industrial,resident,prize,restaurant,weak,attack
2,blogs,country,rate,currency,exchange,price,export,good,usd,u,foreign
3,blogs,price,market,agent,model,bid,asset,stock,auction,expectation,seller
4,blogs,career,bring,pursuing,frac,utility,anymore,mathbf,would,q_,p_
5,blogs,steel,soybean,c_a,signaling,t_k,mutant,beer,spence,separating,majority
6,blogs,theta,prime,varepsilon,sim,pr,lambda,rule,omega,receiver,domain
7,blogs,mathbf,vert,distribution,capm,cauchy,eu,member,dutch,component,matrix
8,blogs,p_s,coke,can,c_s,p_l,c_l,peter,alice,pln,foreign
9,blogs,apple,tariff,biggr,candle,i_i,clothes,kid,product,mu_u,xyz
10,blogs,sigma_,turnover,ldots,digit,coordinate,decimal,tenure,underlined,n_,monotone
11,blogs,discounting,sigma_a,sigma_b,r_d,commerce,hyperbolic,exponential,bob,wheat,interstate
12,blogs,wto,dispute,retaliation,certainty,concession,defendant,resolution,illustrate,nuance,panel
13,blogs,df,np,h_t,missing,print,vegan,manufacturing,data,food,post
14,blogs,airbnb,price,hotel,rental,increase,rent,city,elastic,revenue,omega
15,blogs,pi,coffee,sugar,price,s_w,share,unit,broker,buy,one
16,blogs,http,www,com,textbf,banana,pdf,water,apartment,org,price
17,blogs,box,player,machine,z_,joe,s_j,s_i,choose,offer,envy
18,blogs,price,would,good,cost,one,market,model,example,also,question
19,blogs,price,producer,risk,would,utility,unit,demand,sell,dollar,p_
20,blogs,br,leftward,israel,shift,cyclic,lm,asian,rer,balassa,xx
21,blogs,capitalism,m_r,wood,merchant,rice,ring,ph,corporate,argues,peasant
22,blogs,treatment,service,member,article,gat,commitment,limitation,ijt,mfn,supplier
23,blogs,car,pool,fish,common,boot,cheap,durable,rival,couple,gdp_
24,blogs,de,dealer,primary,york,n_u,transformation,la,s_,allowed,participate
25,blogs,w_l,rho,manager,t_l,t_m,w_m,company,gt,varepsilon_t,b_x
26,blogs,coalition,stagnation,secular,core,natural,steady,hart,ownership,cap,launched
27,blogs,frac,function,x_,partial,p_,beta,equation,right,alpha,left
28,blogs,fuel,airline,truck,flight,plane,passenger,price,airport,burn,macro
29,blogs,circ,xt,x_a,x_n,t_n,excludable,andrew,t_a,fish,pk
30,blogs,space,theta_i,beta,m_zx,alpha_k,m_zu,ex,s_t,ir,location
31,blogs,oilinos,changer,tonne,would,inflation,rate,example,delta,good,growth
32,blogs,s_i,cheese,sigma_i,s_,lambda_i,sandwich,eating,pi,p_,cheaper
33,blogs,dealer,tau_,gambling,db,θ_,rf,tractor,da,h_u,car
34,blogs,p_x,p_y,l_,r,frac,omega,refugee,c,p_z,change
35,blogs,token,z_t,q_t,buy,meme,sell,curve,λ_,enthusiast,sa
36,blogs,seed,framing,chance,richer,certain,choice,random,thaler,today,imagine
37,blogs,ethical,hospital,charity,affordable,patient,visit,colony,organization,coordination,care
38,blogs,sargent,alpha_,hansen,lars,robustness,thomas,gun,delta,cesdata,ln
