topic_id,domain,term0,term1,term2,term3,term4,term5,term6,term7,term8,term9
0,blogs,int_,phi_,c,b_,int,alpha,x_,p_r,density,state
1,blogs,frac,frac_partial,right,gt,partial,text,lambda,function,utility,prime
2,blogs,industrial_organization,mixed_strategy,textbf,macro,np,field,strategy,textbf_textbf,pd,print
3,blogs,function,begin_equation,q_,end_equation,succeq,set,e_,q__q_,cdot,vector
4,blogs,bid,auction,bidder,epsilon,bidding,valuation,win,winning,type,pr
5,blogs,ell,one,firm,r_r,bucket,velocity,cost,frac,cooperate,faire
6,blogs,ppp,income,mechanism,mpc,commitment,msc,revelation,monthly,per_hour,deck
7,blogs,n_,ldots,utility,mathbb,paris,definition,relation,text,complete,coordinate
8,blogs,fe,logit,fixed_effect,warp,ticket,probit,random_effect,effect,choice,price
9,blogs,omega_,c_,brazil,export,period,dy,bop,profit,gdp,perfect
10,blogs,amp_amp,strategy,hline_amp,game,begin_array,efficient_market,payoff,player,mixed_strategy,play
11,blogs,player,game,strategy,equilibrium,one,preference,action,utility,type,nash_equilibrium
12,blogs,stationary,residual,regression,test,stationarity,unit_root,economist_com,fuller,dickey,ran
13,blogs,node,edge,left,main,right,meat,steel,usepackage,document,font
14,blogs,beta,v_,w_,alpha,c_,alpha_beta,ln,frac_alpha,value_function,period
15,blogs,grant,year,gdp_,know,given,federal,saving,past,decision,problem
16,blogs,bank,money,loan,reserve,bond,deposit,cash,asset,money_supply,central_bank
17,blogs,x_,p_,x__x_,u_,constraint,frac,p__p_,r_,time,eta
18,blogs,alpha,tilde,income,alpha_alpha,left_frac,int_,right_alpha,high_income,right,tilde_tilde
19,blogs,social_security,clothing,store,cohort,sample,balance,fuel,new,airline,tangency
20,blogs,overline,wealth_inequality,ad_curve,government_expenditure,effort,x_n,nwd,combat,gt,output
21,blogs,condition,maximum,kkt,theorem,constraint,hold,nabla,global,qualification,slater
22,blogs,succsim,df,al,id,year,xx,lt,c_j,chocolate,c_r
23,blogs,cointegration,test,granger,cointegrated,johansen,one,engle,relationship,ols,asymptotically
24,blogs,island,gold,state,round,currency,collusion,debt,defect,regional,banana
25,blogs,central_bank,domestic_currency,foreign_currency,money,commercial_bank,control,money_supply,foreign_exchange,last_resort,deposit
26,blogs,valuation,discrete,bidder,understand,problem,bid,auction,drawn,first_place,bd
27,blogs,vect,metro,locality,island,istb,suburb,end_array,market,left_begin,debt
28,blogs,opportunity_cost,tm,hot_hand,lt,dz,flip,row,supplier,shot,supply_curve
29,blogs,block,rate,currency,cross,saez,externality,supply,l_w,inequality,piketty
30,blogs,ubi,equity,case,dd,efficiency,vote,would,like,individual,government_spending
31,blogs,cup,b_x,tax,tenant,lvt,j_,landlord,delta__rho,ell,x_p
32,blogs,boldsymbol,sigma_,amp_amp,matrix,h_,begin_bmatrix,end_bmatrix,sigma,amp,p_k
33,blogs,omega,amp_text,begin_eqnarray,gamma,end_eqnarray,beta,amp,theta,begin_case,rho
34,blogs,bitcoin,lifetime,year,npv,xt,fundamental_value,market_price,technology,gold_standard,gold
35,blogs,hart,micro,private_ownership,contract,incomplete_contract,kitchen,contracting,incomplete,ownership,physic
36,blogs,underline_theta,bar_theta,theta_theta,mechanism,emission,direct_mechanism,price,report,convexity,product
37,blogs,bf,inflation,debt,printing_money,little,rate,operation,government_bond,fixed,increased
38,blogs,qquad,quad,x__x_,dy,lrac,x_,quad_x_,srac,boldsymbol,quad_frac
39,blogs,thai,currency,self_sufficiency,kx_,thailand,exchange_rate,central_bank,monetary_economics,floating,supply
40,blogs,apple,computer,ethnicity,trademark,market_demand,windward,evening,time,aq,business
41,blogs,delta,cdot,vert,int_,delta_delta,frac_delta,bar,sqrt,delta_frac,begin_align
42,blogs,pi,pf,wx,pareto,use,transfer,walrasian_equilibrium,q_b,maximization_problem,however
43,blogs,food,vegan,animal,rural,http_www,economy,product,statistic,url,gva
44,blogs,mathbf,mathbf_mathbf,rate,externality,basis_point,month,stlouisfed_org,unemployment,group,positive_externality
45,blogs,price,firm,demand,good,cost,market,profit,consumer,product,quantity
