topic_id,domain,term0,term1,term2,term3,term4,term5,term6,term7,term8,term9
0,blogs,word,one,something,mean,would,used,meaning,like,phrase,example
1,blogs,located,anxiety,bachelor,commission,republic,eager,anxious,equality,ho,bin
2,blogs,hill,perception,soup,container,footnote,wooden,yiddish,illusion,pit,stimulus
3,blogs,agent,spy,bark,intensive,attendance,cancelled,thrive,canceled,centred,espionage
4,blogs,argument,health,bar,ad,fallacy,healthy,bbc,advertising,reasoning,selected
5,blogs,year,time,one,two,child,first,name,three,john,month
6,blogs,game,football,pull,baseball,jump,pitch,rope,museum,resolution,cricket
7,blogs,ground,fun,floor,fee,slippery,building,darling,fo,bronze,hazardous
8,blogs,book,text,page,title,section,paragraph,read,chapter,introduction,visual
9,blogs,day,next,date,last,week,every,meeting,today,meet,th
10,blogs,degree,master,temperature,scale,warm,measurement,lesser,measured,proceed,cable
11,blogs,non,drunk,alcohol,da,sober,sequitur,decipher,cabbage,verisimilitude,proximate
12,blogs,god,hard,drive,memory,ring,christian,kill,bridge,sat,substance
13,blogs,adjective,noun,style,mark,word,space,compound,line,quotation,hyphen
14,blogs,ordered,inspiration,tending,reversal,hr,qualitative,baggage,mist,reed,muse
15,blogs,car,stop,road,horse,street,move,train,travel,fast,direction
16,blogs,room,light,power,coffee,cup,clean,noise,paper,roll,pen
17,blogs,late,hour,morning,early,dinner,evening,tea,clock,meal,lunch
18,blogs,stupid,sitting,seat,chair,committee,chocolate,idiot,member,chairman,consent
19,blogs,movie,night,happy,video,watch,tv,season,dish,exchange,map
20,blogs,people,country,american,world,america,culture,north,south,group,indian
21,blogs,lying,gang,enormous,macbeth,immune,monologue,ponder,cradle,eraser,masterpiece
22,blogs,skill,taught,hang,talent,stream,throwing,sarah,filter,acquire,talented
23,blogs,open,shut,hype,newman,moriarty,kramer,carlos,oasis,littered,hyped
24,blogs,thee,layer,thick,stigma,timid,clone,kindergarten,submissive,thuh,blemish
25,blogs,counter,scratch,gallery,creep,pudding,damaging,clockwise,vinegar,crawl,sponge
26,blogs,house,building,property,ex,land,ing,al,live,flat,pro
27,blogs,would,say,like,person,one,something,mean,someone,could,want
28,blogs,window,cloud,salad,dressing,tailor,seize,ode,sticky,deployed,neighboring
29,blogs,government,crime,blame,guilty,tie,destination,dedicated,commit,commitment,earned
30,blogs,shoe,radio,hole,ball,anymore,network,transfer,wire,stroke,transformation
31,blogs,joking,kidding,groom,cub,suitor,bridegroom,archipelago,inroad,miraculously,daemon
