topic_id,domain,term0,term1,term2,term3,term4,term5,term6,term7,term8,term9
0,blogs,tripod,weight,vibration,adhesive,rigid,carbon_fiber,aluminium,jpg_http,light_weight,fiber
1,blogs,lp,wi_fi,oem,camcorder,battery_pack,eyefi,picture_control,steel,stain,bp
2,blogs,color,image,white,use,look,one,white_balance,colour,using,layer
3,blogs,card,camera,video,memory_card,sd_card,speed,device,usb,fps,gb
4,blogs,amp,http_www,com,html,http,none,meteor,nude,touch_screen,photography
5,blogs,bag,temperature,carry,backpack,carrying,camera_bag,warm,eclipse,fluid,gear
6,blogs,image,file,photo,lightroom,use,raw,one,camera,software,jpeg
7,blogs,planet,solar,asp,pm,transit,venus,july,mar,june,december
8,blogs,lens,mm,focal_length,camera,mm_lens,sensor,zoom,distance,aperture,length
9,blogs,coordinate,agfa,mbps,ra,compactflash,comic,paypal,press_release,heavy_duty,bubble_wrap
10,blogs,keyboard,jrista,lensbaby,mx,nano,lego,zone_plate,airplane,lead_room,vx
11,blogs,camera,exposure,light,iso,shot,shutter_speed,aperture,use,set,setting
12,blogs,strap,loop,wrapping,rolled,virus,pal,webbing,black_rapid,harddisk,duper
13,blogs,mini,fabric,instax,seamless,wrinkle,airline,landing,crease,muslin,integral
14,blogs,rain,housing,asset,lifespan,thrown_away,raindrop,underwater_housing,labour,vanilla,fortunate
15,blogs,forum,posting,sensor_dust,com_forum,last_month,site_http,may_contain,conducted,forum_dpreview,search
16,blogs,diagonal,compositional,pancake_lens,samsung_nx,lomography,convergence,division,olympus_zuiko,voigtländer,population
17,blogs,join,query,id_local,lf,sqlite,git,sql,repository,ci,aglibraryfolder
18,blogs,flower,portfolio,eye_level,low_level,fragile,http_com,high_level,fr,taking_portrait,dominate
19,blogs,flash,camera,light,use,one,trigger,power,set,using,mode
20,blogs,eos_mark,eos_rebel,mark_iii,promote,april,ezprints,compatibility_chart,geo_tagging,resale,apuntes
21,blogs,canon_eos,eos,mk,minolta,xsi,xti,x,lx,digital,digital_rebel
22,blogs,fx,co,flatten,sin,null,dec,xy,azimuth,korean,declination
23,blogs,print,film,image,photo,paper,negative,printer,work,use,photographer
24,blogs,school,city,new_york,robert,sraw,island,mark_iii,identified,chrominance,ambiguity
25,blogs,panasonic,id,asa,gx,gf,din,barcode,oled,amoled,square_meter
26,blogs,ring,tripod_mount,collar,lug,hinge,rolleiflex,color_temp,slot,groove,laser_pointer
27,blogs,lag,latency,orbit,birth,reporter,christian,predominant,examines,timely,filelist
28,blogs,lens,focus,camera,mount,filter,af,glass,adapter,one,aperture
29,blogs,food,cake,eat,bowl,knife,drink,steam,rice,turtle,cooked
30,blogs,battery,charge,power,voltage,charger,cell,cycle,capacity,current,charging
31,blogs,fujifilm,expression,coc,xf,df,letter,mmf,fujinon,dn,intriguing
32,blogs,speaking,english,american,british,ee,nick,replicated,pv,zeikos,pronounce
33,blogs,sharpening,sharpen,clock,resize,time_zone,kiss,rebel_xti,rebel_xt,output_sharpening,utc
34,blogs,face,gt,triangle,tif,pano,six,echo,ptgui,gt_gt,equirectangular
