topic_id,domain,term0,term1,term2,term3,term4,term5,term6,term7,term8,term9
0,blogs,r,recombinant,pylorus,mod,chorion,amnion,jpred,helicobacter,rrss,graphene
1,blogs,cell,body,blood,cause,also,effect,immune,system,disease,virus
2,blogs,bacteria,bacterial,gram,negative,positive,wall,stain,bacterium,staining,crystal
3,blogs,gel,buffer,band,sample,run,electrophoresis,sd,agarose,solution,running
4,blogs,etbr,cyp,ferritin,sedimentation,tuna,lithium,clarithromycin,baltic,mag,confocal
5,blogs,blood,pressure,heart,oxygen,flow,vessel,air,volume,increase,muscle
6,blogs,hair,follicle,keratin,grey,white,scalp,disulfide,bond,beard,curl
7,blogs,cell,light,water,molecule,neuron,plant,energy,also,muscle,membrane
8,blogs,vaccine,aa,strain,r_,vaccination,n_,hpv,hit,immunity,attenuated
9,blogs,a_,x_,p_,bar,pepper,ij,b_,mycelium,frequency,quad
10,blogs,spider,name,dinosaur,web,genus,specie,family,taxon,http,venom
11,blogs,energy,atp,reaction,delta,free,mol,weight,kg,hydrolysis,calorie
12,blogs,shiny,moderator,bristle,modencode,bower,election,daf,bowerbird,scrap,pity
13,blogs,go,ensp,influenza,fetus,ha,inversion,menopause,subtype,subtypes,mid
14,blogs,ch,g_i,f_i,methionine,folate,marsupial,thf,placental,optimality,monotreme
15,blogs,lip,ibd,mathbb,upper,theta,y_,transplant,donor,cutaneous,align
16,blogs,microgram,grp,milligram,typo,one,would,protein,sequence,also,time
17,blogs,pbmcs,f_a,f_o,cell,light,would,one,also,potential,ion
18,blogs,gluteus,minimus,medius,vibrio,spill,catl,armadillo,pangolin,catb,horizon
19,blogs,rf,botulinum,hay,rubella,emf,botulism,bale,carcinogenicity,neurotoxin,encephalitis
20,blogs,nbsp,ant,colony,queen,worker,nest,potato,trail,aphid,pheromone
21,blogs,xx,bv,acb,impacting,cm,cell,gene,dna,mutation,effect
22,blogs,semen,abstinence,mesoderm,cent,bdnf,coelom,spermatozoon,fulminant,hippocampal,immobilization
23,blogs,surrogate,smile,circumcision,surrogacy,gestational,ssveps,tmao,traditional,foreskin,fertilization
24,blogs,hatching,s_f,modulus,s_m,fry,asynchrony,fitness,fittest,homozygote,male
25,blogs,antibiotic,resistance,resistant,penicillin,staphylococcus,aureus,grid,ccr,lactamase,methicillin
26,blogs,tapeworm,proglottids,would,water,saginata,dna,like,body,one,also
27,blogs,no,calmodulin,guanidine,isothiocyanate,pectoralis,enos,mediation,soreness,cell,brain
28,blogs,buoyant,xdna,neutrally,would,protein,cell,like,get,one,process
29,blogs,latin,adjective,noun,singular,suffix,masculine,nominative,genitive,tubercle,declension
