topic_id,domain,term0,term1,term2,term3,term4,term5,term6,term7,term8,term9
0,blogs,ball,red,cointegration,urn,egg,stationary,rural,urban,green,governance
1,blogs,army,na,organization,meal,industrial,resident,prize,restaurant,weak,attack
2,blogs,country,rate,currency,exchange,price,export,good,usd,u,foreign
3,blogs,price,market,agent,model,bid,asset,stock,auction,expectation,seller
4,blogs,career,bring,pursuing,frac,utility,anymore,mathbf,would,q_,p_
5,blogs,theta,prime,varepsilon,sim,pr,lambda,rule,omega,receiver,domain
6,blogs,mathbf,vert,distribution,capm,cauchy,eu,member,dutch,component,matrix
7,blogs,p_s,coke,can,c_s,p_l,c_l,peter,alice,pln,foreign
8,blogs,apple,tariff,biggr,candle,i_i,clothes,kid,product,mu_u,xyz
9,blogs,sigma_,turnover,ldots,digit,coordinate,decimal,tenure,underlined,n_,monotone
10,blogs,discounting,sigma_a,sigma_b,r_d,commerce,hyperbolic,exponential,bob,wheat,interstate
11,blogs,wto,dispute,retaliation,certainty,concession,defendant,resolution,illustrate,nuance,panel
12,blogs,df,np,h_t,missing,print,vegan,manufacturing,data,food,post
13,blogs,airbnb,price,hotel,rental,increase,rent,city,elastic,revenue,omega
14,blogs,pi,coffee,sugar,price,s_w,share,unit,broker,buy,one
15,blogs,box,player,machine,z_,joe,s_j,s_i,choose,offer,envy
16,blogs,price,would,good,cost,one,market,model,example,also,question
17,blogs,price,producer,risk,would,utility,unit,demand,sell,dollar,p_
18,blogs,br,leftward,israel,shift,cyclic,lm,asian,rer,balassa,xx
19,blogs,capitalism,m_r,wood,merchant,rice,ring,ph,corporate,argues,peasant
20,blogs,treatment,service,member,article,gat,commitment,limitation,ijt,mfn,supplier
21,blogs,car,pool,fish,common,boot,cheap,durable,rival,couple,gdp_
22,blogs,de,dealer,primary,york,n_u,transformation,la,s_,allowed,participate
23,blogs,coalition,stagnation,secular,core,natural,steady,hart,ownership,cap,launched
24,blogs,fuel,airline,truck,flight,plane,passenger,price,airport,burn,macro
25,blogs,oilinos,changer,tonne,would,inflation,rate,example,delta,good,growth
26,blogs,s_i,cheese,sigma_i,s_,lambda_i,sandwich,eating,pi,p_,cheaper
27,blogs,dealer,tau_,gambling,db,θ_,rf,tractor,da,h_u,car
28,blogs,p_x,p_y,l_,r,frac,omega,refugee,c,p_z,change
29,blogs,token,z_t,q_t,buy,meme,sell,curve,λ_,enthusiast,sa
30,blogs,seed,framing,chance,richer,certain,choice,random,thaler,today,imagine
31,blogs,ethical,hospital,charity,affordable,patient,visit,colony,organization,coordination,care
32,blogs,sargent,alpha_,hansen,lars,robustness,thomas,gun,delta,cesdata,ln
33,blogs,demanded,quantity,dp,price,dq,change,elasticity,demand,inelastic,perfectly
34,blogs,remittance,exclude,bad,individual,unable,noise,com,excludability,public,w_i
35,blogs,glass,bottle,fund,manager,kahneman,daniel,typical,etf,helping,recycling
36,blogs,interval,non,song,succsim,lagged,aggregator,rivalry,riding,offshore,excludability
37,blogs,utility,function,preference,individual,choice,axiom,allocation,ordinal,m_,expected
38,blogs,col,weighting,state,wage,mw,iota,r_m,singer,humane,aw
39,blogs,announcement,chapter,ic,state,realized,mwg,agent,compatibility,kehoe,incentive
40,blogs,meat,p_xx,p_yy,get,side,add,industrial,organic,insensitive,ration
41,blogs,hat,cohort,pd,red,g_x,pf,alpha_,ytm_n,security,steven
42,blogs,risk,xsp,cad,premia,recycling,hedging,manager,preferential,usd,personal
43,blogs,q_,firm,q_i,pi_,p_,response,best,profit,dq_,cournot
44,blogs,j_,composite,neighborhood,tenant,province,bike,sharing,lot,spread,gentrification
45,blogs,voting,n_l,q_l,q_n,n_n,c_n,clarke,w_h,product,pi_n
46,blogs,power,strong,d_i,calculator,plant,mwh,nbsp,form,news,problem
47,blogs,swiss,franc,pizza,textrm,pop,russia,broker,watch,u,forex
48,blogs,kkt,condition,ii,maximum,global,coal,qualification,theorem,slater,marriage
49,blogs,player,game,strategy,equilibrium,payoff,probability,t_,nash,theta,action
50,blogs,tax,income,wealth,saving,rate,inequality,consumption,government,household,increase
51,blogs,lifetime,unfunded,npv,technology,sf,funded,bedroom,arch,relocation,integrate
52,blogs,ice,cream,participant,reward,tau,cereal,time,rl,l_a,varepsilon_
53,blogs,year,gdp,value,data,variable,would,price,capital,time,growth
54,blogs,monthly,percentage,f_t,decimal,mdp,formula,zone,target,yearly,expressed
55,blogs,err,ride,n_j,phone,trump,apple,donald,ytm,tariff,president
56,blogs,one,rate,utility,market,price,good,currency,unit,government,would
57,blogs,capitalism,industrial,agrarian,keynesianism,mercantilism,revolution,exploitation,century,th,difference
58,blogs,money,rate,bank,interest,inflation,would,bond,government,debt,central
59,blogs,currency,mathop,loc,usd,village,restriction,s_y,kr,quote,convertible
60,blogs,carbon,vat,fee,strictly,prefers,price,year,indifferent,map,value
61,blogs,bike,tuition,healthcare,mdash,pi_l,pi_h,offering,college,announce,company
62,blogs,cost,curve,tc,mc,production,function,leisure,labor,param,substitution
63,blogs,nu,eta,exp,adequately,skipping,stealing,zimbabwe,startup,yielding,gravity
64,blogs,model,var,dsge,forecast,sample,amp,forecasting,parameter,chance,shock
