topic_id,domain,term0,term1,term2,term3,term4,term5,term6,term7,term8,term9
0,blogs,word,one,something,mean,would,used,meaning,like,phrase,example
1,blogs,located,anxiety,bachelor,commission,republic,eager,anxious,equality,ho,bin
2,blogs,hill,perception,soup,container,footnote,wooden,yiddish,illusion,pit,stimulus
3,blogs,agent,spy,bark,intensive,attendance,cancelled,thrive,canceled,centred,espionage
4,blogs,argument,health,bar,ad,fallacy,healthy,bbc,advertising,reasoning,selected
5,blogs,year,time,one,two,child,first,name,three,john,month
6,blogs,game,football,pull,baseball,jump,pitch,rope,museum,resolution,cricket
7,blogs,ground,fun,floor,fee,slippery,building,darling,fo,bronze,hazardous
8,blogs,book,text,page,title,section,paragraph,read,chapter,introduction,visual
9,blogs,day,next,date,last,week,every,meeting,today,meet,th
10,blogs,degree,master,temperature,scale,warm,measurement,lesser,measured,proceed,cable
11,blogs,non,drunk,alcohol,da,sober,sequitur,decipher,cabbage,verisimilitude,proximate
12,blogs,god,hard,drive,memory,ring,christian,kill,bridge,sat,substance
13,blogs,adjective,noun,style,mark,word,space,compound,line,quotation,hyphen
14,blogs,car,stop,road,horse,street,move,train,travel,fast,direction
15,blogs,room,light,power,coffee,cup,clean,noise,paper,roll,pen
16,blogs,late,hour,morning,early,dinner,evening,tea,clock,meal,lunch
17,blogs,stupid,sitting,seat,chair,committee,chocolate,idiot,member,chairman,consent
18,blogs,movie,night,happy,video,watch,tv,season,dish,exchange,map
19,blogs,people,country,american,world,america,culture,north,south,group,indian
20,blogs,skill,taught,hang,talent,stream,throwing,sarah,filter,acquire,talented
21,blogs,thee,layer,thick,stigma,timid,clone,kindergarten,submissive,thuh,blemish
22,blogs,house,building,property,ex,land,ing,al,live,flat,pro
23,blogs,government,crime,blame,guilty,tie,destination,dedicated,commit,commitment,earned
24,blogs,shoe,radio,hole,ball,anymore,network,transfer,wire,stroke,transformation
25,blogs,joking,kidding,groom,cub,suitor,bridegroom,archipelago,inroad,miraculously,daemon
26,blogs,goodness,tolkien,elf,wordnet,princeton,graphical,gracious,tile,hoof,fleece
27,blogs,human,animal,fish,bird,eat,plant,egg,specie,meat,sick
28,blogs,latest,ensure,insurance,protect,bitter,delight,perfection,assurance,swallow,assure
29,blogs,device,phone,literary,equipment,mobile,electronic,mechanical,telephone,zone,genius
30,blogs,consecutive,bully,successive,provoking,provocateur,typesetting,fondness,bullying,goon,latex
31,blogs,prepared,rough,needle,patch,expletive,install,breakdown,expenditure,resignation,packet
