topic_id,domain,term0,term1,term2,term3,term4,term5,term6,term7,term8,term9
0,blogs,eve,charlie,ashley,laura,westlaw,lexisnexis,ebay,law,carer,court
1,blogs,law,state,court,would,case,government,right,federal,act,united
2,blogs,smoking,marijuana,smoke,cigarette,tobacco,plant,paul,weed,au,smoker
3,blogs,controller,processor,weserve,ourcontent,data,iframe,dpa,quran,upl,finnegan
4,blogs,vat,chunk,supply,irish,torrent,eu,intra,wasp,company,bee
5,blogs,speed,limit,mph,hour,prima,facie,flight,posted,mile,zone
6,blogs,contract,party,agreement,term,clause,breach,would,damage,offer,law
7,blogs,registrar,ford,solo,blm,registrant,whois,blackberry,mega,capcom,godaddy
8,blogs,would,company,use,work,copyright,legal,law,data,may,could
9,blogs,case,law,would,person,court,crime,child,criminal,judge,one
10,blogs,state,would,law,court,one,case,without,legal,right,jury
11,blogs,schedule,cola,coca,attachment,contentious,pepsi,bell,irc,xor,respectively
12,blogs,burger,franchise,mou,franchisee,franchisor,academy,meat,winner,king,hob
13,blogs,fox,metric,rescuetime,television,yellowknife,apparel,school,font,station,compatible
14,blogs,landlord,tenant,lease,month,rent,notice,day,property,pay,fee
15,blogs,inadmissibility,alien,would,one,country,also,state,could,legal,company
16,blogs,shop,wall,ball,cube,ink,pawn,rubik,golf,painted,merritt
17,blogs,rat,juris,sui,portuguese,mouse,rodent,portugal,arrogation,adoption,grandparent
18,blogs,lexis,reilly,carp,cod,chef,oliver,forgive,rip,debt,forgiven
19,blogs,markup,pci,ds,metadata,element,enron,fidelity,plurality,tissue,compliant
20,blogs,data,would,person,one,may,service,use,could,property,like
21,blogs,stereo,holmes,trigg,shapiro,cordon,hastings,revolution,sir,serial,jonathan
22,blogs,license,vehicle,country,code,citizen,state,resident,citizenship,registration,gpl
23,blogs,inhabited,camp,septic,tehlirian,scout,bsa,surrounded,property,would,used
24,blogs,venmo,aws,paypal,agb,spraying,powered,squirrel,escrow,gray,right
25,blogs,currency,cbsa,courier,fung,manfred,pokeball,monetary,traveller,instrument,basketball
26,blogs,firearm,military,gun,weapon,patient,war,licensee,state,force,doctor
27,blogs,exclusion,country,nba,standard_rate,false,cyprus,greece,czech,austria,pt
28,blogs,provisional,mb,lamp,lhd,byte,dt,kb,gb,embodiment,trait
29,blogs,toll,latin,english,germanic,spelling,throne,tolling,word,verb,language
30,blogs,exposure,chemical,skin,exposed,weakness,cancer,dichlorvos,toxic,toxicity,delayed
31,blogs,vegetarian,rutgers,ipfs,singapore,daca,chancellor,undocumented,would,steward,dream
32,blogs,numeral,turner,suffix,william,naming,name,numerical,trademark,law,product
33,blogs,jd,ostensible,boiler,supermarket,hydrolevel,llb,miller,oxford,ba,josephine
34,blogs,java,oracle,seed,api,fmla,sql,farmer,mysql,crypto,recertification
35,blogs,prize,drawing,raffle,lottery,ticket,bpa,shkreli,chance,would,receptacle
36,blogs,compound,diabetes,case,court,would,law,one,legal,may,party
37,blogs,apple,orange,pear,state,would,contract,company,law,legal,use
38,blogs,dns,server,ddos,attack,ntsb,stress,upstream,test,cloudflare,uscode
39,blogs,merchandise,np,remarriage,vic,unordered,maintenance,computational,brilliant,would,one
40,blogs,brief,amicus,curia,timeframe,overpayment,motion,helicopter,court,party,would
41,blogs,kernel,mod,linux,space,authored,use,work,protectable,law,public
42,blogs,indemnified,puppy,indemnifying,breeder,broadband,worm,breed,commencement,dial,party
43,blogs,property,right,would,party,state,may,user,public,law,case
44,blogs,police,would,car,officer,get,could,person,question,right,one
45,blogs,beef,aaron,japan,designation,kobe,chicken,geographic,certified,cream,min
46,blogs,mr,blockchain,founder,token,softdao,buisnessman,incumbentco,softcoin,largest,ethereum
47,blogs,patreon,swing,golfer,subscribed,patenting,diamond,work,would,use,jqning
48,blogs,cryptographic,munition,cryptography,mosquito,specie,itar,croatia,descendant,weapon,insect
49,blogs,gst,dlna,sauce,dodgy,would,alliance,law,court,lawyer,case
