topic_id,domain,term0,term1,term2,term3,term4,term5,term6,term7,term8,term9
0,blogs,camera,photo,would,one,like,get,take,time,good,picture
1,blogs,flash,camera,shutter,speed,mode,use,exposure,light,manual,set
2,blogs,radiation,temp,mr,dose,rggb,rfusca,encounter,radioactive,ionizing,sick
3,blogs,color,print,paper,profile,printer,negative,printing,space,colour,srgb
4,blogs,cz,skinned,seagull,cbr,miksang,use,photography,lens,camera,one
5,blogs,canon,eos,ii,mark,model,iii,rebel,camera,digital,fuji
6,blogs,light,image,exposure,color,camera,iso,white,noise,one,use
7,blogs,solstice,yay,lens,camera,mm,canon,photo,time,get,would
8,blogs,content,fill,warp,warping,istock,addon,refinement,hawk,kite,intriguing
9,blogs,lens,mm,sensor,focal,length,image,distance,camera,field,size
10,blogs,battery,charge,cell,capacity,charger,life,aa,cycle,charged,charging
11,blogs,lens,mm,image,like,filter,layer,would,use,canon,photo
12,blogs,float,int,startup,lytro,cleanup,shutdown,unsigned,trey,char,surrealistic
13,blogs,gel,cto,velcro,light,use,flash,lens,photo,get,mm
14,blogs,eclipse,pad,swab,adhesive,gently,fluid,risky,pec,nervous,wand
15,blogs,file,image,raw,lightroom,photo,jpeg,use,photoshop,software,data
16,blogs,bull,ctein,lens,photo,aperture,mm,one,light,like,take
17,blogs,ycbcr,col,bespoke,image,lens,use,would,color,filter,may
18,blogs,avisynth,camera,light,lens,image,one,use,need,canon,get
19,blogs,interpolation,dispersion,digic,inc,sraw,fluorite,ud,mraw,chrominance,avenue
20,blogs,filter,light,lens,glass,nd,front,element,reflection,stop,uv
21,blogs,street,bresson,cartier,henri,lens,mm,angle,get,like,lot
22,blogs,tripod,head,camera,use,right,release,mount,weight,one,need
23,blogs,index,disk,ricoh,shell,activate,dn,adox,bk,fw,diskutil
24,blogs,compact,powershot,sx,h,canon,ixus,camera,elph,rome,model
25,blogs,card,sd,cf,camera,reader,write,adapter,computer,speed,dsc
26,blogs,dxo,fungus,fm,growth,spore,zeiss,benchmark,fungal,ze,slrgear
27,blogs,mini,instax,aurora,asset,warmth,motorcycle,borealis,spectrum,latex,cooler
28,blogs,hood,shape,bokeh,corner,vignetting,flower,edge,blade,round,nbsp
29,blogs,pixel,image,resolution,size,quality,mp,screen,detail,print,per
30,blogs,electronic,food,dog,candle,crowd,signature,cake,bowl,heading,speaker
31,blogs,http,com,www,amp,site,photo,link,page,html,review
32,blogs,bird,wildlife,animal,hd,gopro,flight,underwater,fly,housing,hero
33,blogs,droid,g,lens,camera,image,get,would,body,light,also
34,blogs,gaussian,heif,smoothly,smoothed,taper,hevc,hexagon,christian,examines,gesture
35,blogs,star,grip,transformation,pi,diamond,co,blob,array,sin,celestial
36,blogs,windmill,card,image,camera,photo,one,get,like,picture,lens
37,blogs,image,photo,exif,file,data,number,tag,date,metadata,use
38,blogs,usb,bandwidth,mbps,firewire,requesting,emulating,utilizes,dmii,pci,fw
39,blogs,display,monitor,device,screen,calibration,pro,hardware,calibrated,calibrate,software
40,blogs,oriented,spiral,cotton,polish,dip,bud,bread,emailed,rubbed,gmail
41,blogs,sun,hour,sunset,horizon,texture,rise,cube,astronomical,sky,twilight
42,blogs,signal,rate,frequency,pattern,wave,sampling,aliasing,hz,discrete,alias
43,blogs,authenticity,spanish,fractionally,widen,greenness,var_max,purity,camera,range,lens
44,blogs,wps,blouse,camera,lens,use,one,image,mode,like,photo
45,blogs,chimp,camera,flash,use,lens,nikon,canon,one,take,photo
46,blogs,face,lighting,rembrandt,xqd,compactflash,comic,chiaroscuro,distinguishes,gbps,pci
47,blogs,container,hunting,associate,duck,synonym,fishing,infer,trait,swimming,fungi
48,blogs,beam,electron,retro,styling,nod,labelling,ebc,moniker,luminous,walked
49,blogs,picasaweb,image,camera,lens,would,take,one,focus,shot,photography
50,blogs,bpc,xps,bit,image,file,one,also,mm,channel,light
51,blogs,pack,lp,rated,supplied,oem,bp,generic,camcorder,compatible,eh
52,blogs,heated,wr,steam,arctic,coast,supreme,ocean,skiing,pacific,sauna
53,blogs,deviantart,ezprints,rafter,rochester,rafting,mm,lens,camera,image,good
54,blogs,lens,dust,sensor,clean,cleaning,spot,remove,contact,use,cloth
55,blogs,temperature,water,weather,camera,bag,lens,air,inside,cold,plastic
